question_number,overall_score,technical_accuracy,completeness,clarity,depth,practicality
1,8.1,9.5,9.0,9.0,7.0,6.0
2,8.5,9.5,9.0,9.0,8.0,7.0
3,8.3,9.5,9.0,9.0,7.0,7.0
4,8.3,9.5,9.0,9.0,7.0,7.0
5,8.5,9.5,9.0,9.0,7.0,8.0
6,8.1,9.5,9.0,8.0,7.0,7.0
7,8.0,9.0,9.0,8.0,7.0,7.0
8,8.2,9.0,9.0,9.0,7.0,7.0
9,8.3,9.5,9.0,9.0,7.0,7.0
10,8.3,9.5,9.0,9.0,7.0,7.0
11,8.7,9.5,9.0,9.0,8.0,8.0
12,8.3,9.5,9.0,9.0,7.0,7.0
13,8.3,9.5,9.0,9.0,7.0,7.0
14,8.6,9.0,9.0,9.0,8.0,8.0
15,9.1,9.5,9.0,9.0,8.0,10.0
16,8.6,9.0,10.0,9.0,8.0,7.0
17,8.7,8.5,10.0,9.0,7.0,9.0
18,8.2,9.0,9.0,9.0,7.0,7.0
19,9.1,9.5,10.0,8.0,8.0,10.0
20,1.0,1.0,1.0,1.0,1.0,1.0
